Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Three Rivers District Council,,England,"93,045",21 May 2019,2030,2045,Declared CE,https://www.threerivers.gov.uk/egcl-page/council-minutes,https://www.watfordobserver.co.uk/news/18002855.three-rivers-district-council-commits-50-000-tackling-climate-change/,https://data.climateemergency.uk/media/data/plans/three-rivers-district-council-939b66b.pdf,,,Lib Dem,,,,,,,,,,
Thurlestone Parish Council,,England,"1,886",2 Nov 2020,2030,2050 at latest,Declared CE,https://www.thurlestoneparish.co.uk/uploads/4/8/9/6/48967079/mins_nov_2020.pdf,,,,,,,,,,,,,,,
Thurrock Council,,England,"174,341",23 Oct 2019,2030,,Declared 'CE',https://democracy.thurrock.gov.uk/documents/g5652/Printed%20minutes%2023rd-Oct-2019%2019.00%20Council.pdf?T=1,,,,,NOC,,,,,,,,,,
Tiverton Town Council,,England,"19,544",3 Jun 2019,,,Declared CE,https://static1.squarespace.com/static/5b688c785417fcbd5ba768a7/t/5d1a087646199300019b5bb0/1561987192049/Extraordinary+Minutes+of+the+3rd+June+2019..pdf,https://www.devonlive.com/news/devon-news/climate-emergency-declared-councils-across-2981443,,,,,,,,,,,,,,
Tockwith with Wilstrop Parish Council,,England,"1,597",17 Jun 2020,,2030,,,https://www.yorkpress.co.uk/news/18533215.tockwith-declares-climate-emergency/,,,,,,,,,,,,,,
Todmorden Town Council,,England,"15,481",10 Apr 2019,,2030,Declared 'CE',https://todmorden-tc.gov.uk/wp-content/uploads/2020/08/Minutes-10th-April-2019.pdf,https://www.halifaxcourier.co.uk/news/environment/climate-training-success-for-hebden-royd-and-todmorden-town-councils-3624815,,,,,,,,,,,,,,
Tonbridge and Malling Borough Council,,England,"130,508",9 Jul 2019,,2030,Climate & Biodiversity,https://democracy.tmbc.gov.uk//documents/g3867/Printed%20minutes%2009th-Jul-2019%2019.30%20Council.pdf?T=1,https://www.kentonline.co.uk/kent/news/has-your-council-declared-a-climate-emergency-209780/,https://data.climateemergency.uk/media/data/plans/tonbridge-and-malling-borough-council-0e68543.pdf,,,Conservative,,,,,,,,,,
Torbay Council,,England,"130,959",19 Jun 2019,,2030,Declared CE,http://www.torbay.gov.uk/DemocraticServices/documents/d2795/Printed%20decision%20Notice%20of%20Motion%20-%20Climate%20Change.pdf?T=5,,https://www.torbay.gov.uk/council/policies/environmental/climate-change-strategy/,,,NOC,,,,,,,,,,
Torfaen County Borough Council,,Wales,"93,049",25 Jun 2019,,,Declared CE,http://moderngov.torfaen.gov.uk/documents/g5410/Public%20minutes%2025th-Jun-2019%2010.00%20Council.pdf?T=11&LLL=0,https://www.southwalesargus.co.uk/news/17735186.torfaen-council-declares-climate-emergency/,https://getinvolved.torfaen.gov.uk/pssu/c-n-e-d-a-p/supporting_documents/Draft%20Climate%20and%20Nature%20Emergency%20Action%20Plan%20V2%20October%2021%20003.docx,,http://moderngov.torfaen.gov.uk/documents/g5410/Public%20reports%20pack%2025th-Jun-2019%2010.00%20Council.pdf?T=10,Labour,,,,,,,,,,
Torridge District Council,,England,"68,143",1 Jul 2019,2030,2050,Declared 'CE',https://democracy.torridge.gov.uk/documents/g2144/Printed%20minutes%2001st-Jul-2019%2018.30%20Full%20Council.pdf?T=1,,https://www.torridge.gov.uk/CHttpHandler.ashx?id=21929&p=0,,,NOC,,,,,,,,,,
Totnes Town Council,,England,"8,076",3 Dec 2018,,2030,Declared 'CE',http://www.totnestowncouncil.gov.uk/_UserFiles/Files/_Other/47489-Full_Council_Papers_3rd_December_2018.pdf,,,,,,,,,,,,,,,
Towcester Town Council,,England,"9,252",24 Sep 2020,,,Declared CE,https://www.towcester-tc.gov.uk/uploads/tc-minutes-140920-(website).pdf,https://www.towcester-tc.gov.uk/uploads/ttc186-for-web.pdf,,,,,,,,,,,,,,
Tower Hamlets London Borough Council,,England,"317,705",20 Mar 2019,2025,2045,Declared CE,http://democracy.towerhamlets.gov.uk/documents/g8875/Printed%20minutes%2020th-Mar-2019%2019.00%20Council.pdf?T=1,https://www.eastlondonadvertiser.co.uk/news/politics/tower-hamlets-council-to-become-carbon-neutral-by-2025-1-5952587,https://data.climateemergency.uk/media/data/plans/london-borough-of-tower-hamlets-13ed62b.pdf,,,Labour,,Yes,,Yes,,,,,,
Trafford Council (UA),,England,"236,370",28 Nov 2018,,2038,Declared 'CE',https://democratic.trafford.gov.uk/ieListDocuments.aspx?CId=122&MId=2681&Ver=4,,https://democratic.trafford.gov.uk/documents/s37185/Appendix%201%20Trafford%20Council%20Carbon%20Neutral%20Framework%20Report.pdf,,,Labour,"Labour (35), Conservative (20), Liberal Democrat (3), Green Party (3), Vacant (2)",,,,,,,,,
Trowbridge Town Council,,England,"33,108",17 Sep 2019,,,Declared CE,https://www.trowbridge.gov.uk/wp-content/uploads/2019/09/190917-Full-Council-Minutes-unapproved.pdf,,,,,,,,,,,,,,,
Tunbridge Wells Borough Council,,England,"118,054",17 Jul 2019,2030,2030,Climate & Biodiversity,https://democracy.tunbridgewells.gov.uk/meetings/documents/g4418/Printed%20minutes%2017th-Jul-2019%2018.30%20Full%20Council.pdf?T=1,https://www.kentonline.co.uk/kent/news/has-your-council-declared-a-climate-emergency-209780/,https://tunbridgewells.gov.uk/environment/climate-change,,http://democracy.tunbridgewells.gov.uk/meetings/documents/g4418/Public%20reports%20pack%2017th-Jul-2019%2018.30%20Full%20Council.pdf?T=10,Conservative,,,,,,,,,,
Tywyn Town Council,,Wales,"3,264",13 Feb 2019,,asap,Declared 'CE',http://tywyntowncouncil.wales/uploads/2019.02.13_minutes__monthly_meeting_february.pdf,,,,,,,,,,,,,,,
Uckfield Town Council,,England,"14,493",5 Aug 2019,,,Declared CE,https://www.uckfieldtc.gov.uk/wp-content/uploads/2019/10/Minutes-FC-05.08.19.pdf,https://uckfieldnews.com/steps-to-fight-climate-change-in-uckfield/,,,,,,,,,,,,,,
Uttlesford District Council,,England,"89,179",30 Jul 2019,2030,2030,Climate & Ecological,https://uttlesford.moderngov.co.uk/documents/g5264/Printed%20minutes%2030th-Jul-2019%2019.30%20Council.pdf?T=1,https://www.saffronwaldenreporter.co.uk/news/uttlesford-district-council-votes-to-declare-climate-emergency-1-6192680,https://uttlesford.moderngov.co.uk/documents/s22640/CLIMATE%20CHANGE%20STRATEGY.pdf,,https://uttlesford.moderngov.co.uk/ieListDocuments.aspx?CId=159&MId=5264,Independent,,,,,,,,,,
Uttoxeter Town Council,,England,"13,089",13 Nov 2019,,,Declared CE,https://www.uttoxetertowncouncil.org.uk/minutes,https://www.timesechoandlife.co.uk/town-council-declare-climate-emergency/,,,,,,,,,,,,,,
Vale of Glamorgan Council,,Wales,"132,165",29 Jul 2019,2030,2030,Declared 'CE',https://www.valeofglamorgan.gov.uk/Documents/_Committee%20Reports/Council/2019/19-07-29/Minutes.pdf,https://broradio.fm/local-news/vale-councillors-climate-emergency-decision-welcomed-local-campaigners/,https://data.climateemergency.uk/media/data/plans/vale-of-glamorgan-council-1f89ff7.pdf,,"https://www.valeofglamorgan.gov.uk/en/our_council/Council-Structure/minutes,_agendas_and_reports/agendas/council/2019/19-07-29.aspx",NOC,,,,,,,,,,
Vale of White Horse District Council,,England,"133,732",13 Feb 2019,2030,2045,Declared CE,http://democratic.whitehorsedc.gov.uk/documents/g2453/Public%20minutes%20Wednesday%2013-Feb-2019%2019.00%20Council.pdf?T=11,,https://data.climateemergency.uk/media/data/plans/vale-of-white-horse-district-council-816a020.pdf,,http://democratic.whitehorsedc.gov.uk/mgAi.aspx?ID=29023,Lib Dem,,,,,,,,,,
Wakefield Council,,England,"345,038",23 May 2019,2030,2030,Declared CE,http://mg.wakefield.gov.uk/documents/g13606/Printed%20minutes%20Thursday%2023-May-2019%2011.30%20Council.pdf?T=1,,https://data.climateemergency.uk/media/data/plans/wakefield-metropolitan-district-council-cc4e0f3.pdf,https://www.wakefield.gov.uk/Pages/News/PR-9059.aspx,http://mg.wakefield.gov.uk/ieListDocuments.aspx?CId=221&MId=13948&Ver=4,Labour,"Labour (49), Conservative (11), Independents (2), Liberal Democrats (1)",,,,,,,,,
Wallingford Town Council,,England,"11,600",18 May 2020,2030,,Acknowledged CE,https://www.wallingfordtowncouncil.gov.uk/files/2020.05.18_-_DRAFT_Council_minutes.pdf,https://www.heraldseries.co.uk/news/18552648.wallingford-council-debates-cancelling-fireworks-cut-emissions/,,,,,,,,,,,,,,
Walmer Town Council,1,England,"8,178",3 Jul 2019,2025,,Declared CE,http://www.walmercouncil.co.uk/_UserFiles/Files/_Minutes/100301-PCMinutes-Annual-Council-3-July-2019.pdf,,,http://www.walmercouncil.co.uk/Climate_Emergency_32837.aspx,,,,,,,,,,,,
Walsall Council,,England,"283,378",16 Sep 2019,2050,,Declared CE,,https://www.climateemergency.uk/blog/walsall/,https://data.climateemergency.uk/media/data/plans/walsall-metropolitan-borough-council-bafd232.pdf,,,Conservative,,,,,,,,,,
Waltham Forest London Borough Council,,England,"276,700",25 Apr 2019,,2030,Declared CE,https://democracy.walthamforest.gov.uk/mgAi.aspx?ID=32233,https://walthamforestecho.co.uk/climate-emergency-declared/,,,,Labour,,Yes,,Yes,,,,,Yes,
Wandsworth London Borough Council,,England,"326,474",17 Jul 2019,2030,,Declared CE,https://democracy.wandsworth.gov.uk/documents/g6189/Printed%20minutes%2017th-Jul-2019%2019.30%20Council.pdf?T=1,https://www.climateemergency.uk/blog/london-borough-of-wandsworth/,https://www.wandsworth.gov.uk/media/7570/wandsworths-environment-and-sustainability-strategy.pdf,,,Conservative,"Conservative (33), Labour (26), Independent (1)",Yes,,Yes,,,,,,
Wantage Town Council,,England,"11,327",1 Dec 2019,,,Declared CE,https://wantagetowncouncil.gov.uk/wp-content/uploads/2019/07/PMF-mins-15-July-19.pdf,,,https://wantagetowncouncil.gov.uk/climate-emergency/,,,,,,,,,,,,
Warrington Borough Council,,England,"209,547",17 Jun 2019,2030,2030,Declared 'CE',https://climateemergency.uk/blog/warrington/,https://www.warringtonguardian.co.uk/news/17713927.climate-emergency-declared-as-councillor-has-dig-at-donald-trump/,https://data.climateemergency.uk/media/data/plans/warrington-borough-council-9d64c20.pdf,,https://www.warrington.gov.uk/sites/default/files/2020-07/full_council_-_17_june_2019_-_agenda_pack.pdf,Labour,"Labour (43), Liberal Democrats (12), Conservative (1), Independent (2)",,,,,,,,,
Warwick District Council,,England,"142,484",26 Jun 2019,2025,2030,Declared 'CE',https://estates4.warwickdc.gov.uk/cmis/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=koxbIIJUFg1xWFHlSq1cwViPXbJdVfPvqr356sMWs9DgJU03%2b2LuvA%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,https://leamingtonobserver.co.uk/news/council-chiefs-in-warwick-declare-climate-emergency/,https://estates8.warwickdc.gov.uk/CMIS/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=y0rbw8uPBpN3%2b9y6%2b%2bUMr0KlJ%2f9nVgPY%2bETFW5sMWFPBkiDjjnjwcQ%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,,,NOC,,,,,,,,,,
Warwickshire County Council,,England,"571,010",25 Jul 2019,2030,,Declared 'CE',https://democratic.warwickshire.gov.uk/Cmis5/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=sTubpfD8%2bK41LgXvBJ7LNtJG2SN7Zco8WsOzFy4lMkyb%2bAChv%2bBS5Q%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,https://www.warwickcourier.co.uk/news/climate-emergency-declared-by-warwickshire-county-council-1-9011767,https://data.climateemergency.uk/media/data/plans/warwickshire-county-council-a14ec0e.pdf,,,Conservative,,,,,,,,,Yes,
Watford Borough Council,,England,"96,800",9 Jul 2019,2030,2030,Declared CE,https://watford.moderngov.co.uk/documents/g2510/Printed%20minutes%20Tuesday%2009-Jul-2019%2019.30%20Council.pdf?T=1,https://www.climateemergency.uk/blog/watford/,https://www.watford.gov.uk/downloads/file/3229/sustainability_strategy_part_1_-_2020_to_2023,,https://watford.moderngov.co.uk/mgAi.aspx?ID=10107,Lib Dem,,,,,,,,,,
Watlington Parish Council,,England,"2,727",12 Mar 2019,,,Declared CE,https://www.watlington.org/uploads/1/2/2/2/122205868/full_council_minutes_march_2019.pdf,https://www.henleystandard.co.uk/news/watlington/137286/council-declares-climate-emergency.html,,,,,,,,,,,,,,
Waverley Borough Council,,England,"125,610",18 Sep 2019,2030,,Declared 'CE',https://modgov.waverley.gov.uk/documents/g3214/Printed%20minutes%2018th-Sep-2019%2019.00%20Council.pdf?T=1,,https://www.waverley.gov.uk/downloads/file/7281/climate_emergency_action_plan_2020-2030_-_draft_feb_2020,https://www.waverley.gov.uk/news/article/515/waverley_borough_council_declares_climate_emergency,https://modgov.waverley.gov.uk/ieListDocuments.aspx?CId=130&MId=3214&Ver=4,NOC,,,,,,,,,,
Wealden District Council,,England,"160,175",24 Jul 2019,2050,2050,Declared 'CE',http://council.wealden.gov.uk/documents/g4759/Printed%20minutes%2024th-Jul-2019%2010.00%20Full%20Council.pdf?T=1,https://www.sussexexpress.co.uk/news/politics/climate-change-emergency-declared-wealden-district-council-951775,http://council.wealden.gov.uk/documents/s64850/Appendix%20B%20-Wealden%20District%20Council-Climate%20Emergency%20Plan-FINAL.pdf,,,Conservative,,,,,,,,,,
Welcombe Parish Council,,England,187,4 Sep 2019,,,Declared CE,https://docs.google.com/document/d/1SsRqdOqU1yxEzmD5haNq1OrVWQOBu8CdIpYluU3PuJo/edit,,,https://www.welcombe.org.uk/organisations/parish-council/climate-emergency,,,,,,,,,,,,
Wellington Town Council,,England,"25,554",11 Aug 2020,,,Declared CE,https://www.wellington-shropshire.gov.uk/pdfs//AugFullCouncilMINS11082020.pdf,,,,,,,,,,,,,,,
Welsh Parliament,,Wales,"3,139,000",29 Apr 2019,2030,2050,Declared 'CE',,https://www.bbc.com/news/uk-wales-politics-48122055,https://gov.wales/net-zero-wales-carbon-budget-2-2021-2025,,,,,,,,Yes,,,,,
Welshpool Town Council,,Wales,"6,664",27 Feb 2019,,asap,Declared 'CE',http://www.welshpooltowncouncil.gov.uk/documents/user/2019-FULLCOUNCIL-FEBRUARY-PUBLIC.pdf,,,http://www.mywelshpool.co.uk/viewernews/ArticleId/16366,http://www.welshpooltowncouncil.gov.uk/documents/user/2019-AGENDA-FULLCOUNCIL-FEBRUARY-PUBLIC.pdf,,,,,,,,,,,
Welwyn Hatfield Borough Council,,England,"122,746",19 Jun 2019,2030,2030,Declared CE,https://climateemergency.uk/blog/welwyn-hatfield/,,https://www.welhat.gov.uk/strategies/climate-change/preface,,,NOC,,,,,,,,,,
Wembury Parish Council,,England,"2,740",24 Jun 2019,,,Climate + Env + Biodiversity,http://www.wemburyparishcouncil.info/_UserFiles/Files/_Minutes/73609-DRAFT_June_2019_Minutes.pdf,,,,,,,,,,,,,,,
West Berkshire Council,,England,"158,527",2 Jul 2019,,2030,Declared CE,http://decisionmaking.westberks.gov.uk/documents/g5078/Printed%20minutes%2002nd-Jul-2019%2019.00%20Council.pdf?T=1,,https://info.westberks.gov.uk/CHttpHandler.ashx?id=48361&p=0,,http://decisionmaking.westberks.gov.uk/ieListDocuments.aspx?CId=116&MId=5078&Ver=4,Conservative,,,,,,,,,,
West Bletchley Parish Council,,England,"22,213",17 Dec 2019,2030,,Recognised CE,,,,https://www.westbletchleycouncil.gov.uk/local-news/climate-emergency,,,,,,,,,,,,
West Devon Borough Council,,England,"55,528",21 May 2019,2030,2050 at latest,Climate & Biodiversity,https://mg.swdevon.gov.uk/documents/g1200/Printed%20minutes%2021st-May-2019%2011.00%20West%20Devon%20Council.pdf?T=1,"http://www.okehampton-today.co.uk/article.cfm?id=436115&headline=In%20this%20week%27s%20Times:%20council%20declares%20a%20climate%20emergency,%20new%20council%20leaders%20take%20their%20post,%20all%20the%20local%20sport%20and%20much%20more!&sectionIs=news&searchyear=2019",https://mg.swdevon.gov.uk/mgAi.aspx?ID=13390#mgDocuments,,,Conservative,,,,,,,,,,
West Dunbartonshire Council,,Scotland,"89,130",29 May 2019,2045,,Agreed 'CE',http://wdccmis.west-dunbarton.gov.uk/CMIS5/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=ql%2fsEuabbKit80ppdsgHi8thnT4ZMk0Pl0cdM9ZMr8kt5ny6lrtStA%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,https://www.nuclearpolicy.info/news/nfla-welcomes-west-dunbartonshire-council-prohibition-nuclear-weapons-climate-emergency-divestment-fossil-fuels/,https://data.climateemergency.uk/media/data/plans/west-dunbartonshire-council-511783d.pdf,,,NOC,,,,,,,,,Yes,
West of England Combined Authority,,England,"938,150",19 Jul 2019,,2030,Declared CE,https://westofengland-ca.moderngov.co.uk/documents/b1166/Decisions%20-%20West%20of%20England%20Combined%20Authority%20Committee%20-%2019%20July%202019%2019th-Jul-2019%2010.00%20West%20o.pdf?T=9,https://www.bristolpost.co.uk/news/bristol-news/what-declaring-climate-emergency-actually-3110965,https://westofengland-ca.moderngov.co.uk/documents/s2194/11c2%20-%20CE%20Action%20Plan.pdf,,,NOC,"Consevative 1, Labour 2, Lib Dem 1",,,,,,,,Yes,
West Harptree Parish Council,,England,439,9 Mar 2020,,,Declared CE,http://westharptreeparishcouncil.co.uk/PDF/March_2020.pdf,,,,,,,,,,,,,,,
West Lancashire Borough Council,,England,"113,949",17 Jul 2019,2030,,Declared CE,https://democracy.westlancs.gov.uk/documents/g2007/Printed%20minutes%2017th-Jul-2019%2019.30%20Council.pdf?T=1,,https://data.climateemergency.uk/media/data/plans/west-lancashire-borough-council-664f91e.pdf,,,Labour,,,,,,,,,,
West Lothian Council,,Scotland,"182,140",24 Sep 2019,,,Recognised CE,https://coins.westlothian.gov.uk/coins/viewSelectedDocument.asp?c=e%97%9Dh%91ky%8D,,https://www.westlothian.gov.uk/article/34720/West-Lothian-Council-takes-action-on-Climate-Change,https://news.westlothian.gov.uk/article/46400/West-Lothian-declares-climate-emergency-,,NOC,,,,,,,,,,
West Midlands Combined Authority,,England,"2,916,458",28 Jun 2019,,2041,Declared 'CE',https://governance.wmca.org.uk/ieListDocuments.aspx?CId=137&MId=221,,https://data.climateemergency.uk/media/data/plans/west-midlands-combined-authority-d0a201c.pdf,https://www.wmca.org.uk/news/the-wmca-declares-climate-emergency-and-pledges-urgent-action-to-reduce-emissions/,,NOC,"Consevative 4, Labour 4",,,,,,,,Yes,
West Oxfordshire District Council,,England,"109,800",26 Jun 2019,2030,2050 or earlier,Declared CE,https://www.cedamia.org/ced-regions-in-uk/,https://www.oxfordtimes.co.uk/news/17827732.west-oxfordshire-district-council-passes-nature-partnership-motion/,https://www.westoxon.gov.uk/media/th4hxevi/climate-action-for-west-oxfordshire.pdf,,,Conservative,,,,,,,,,,
West Suffolk Council,,England,"179,045",19 Sep 2019,2030,,Declared CE,https://democracy.westsuffolk.gov.uk/documents/g4511/Printed%20minutes%20Thursday%2019-Sep-2019%2018.30%20Council.pdf?T=1,,https://data.climateemergency.uk/media/data/plans/west-suffolk-council-997f2e5.pdf,,,Conservative,"Conservative 36, Independent 15, West Suffolk Independents 7, Labour 5, Green 1 ",,,,,,,,,
West Sussex County Council,,England,"858,852",5 Apr 2019,2030,,Declared 'CE',https://westsussex.moderngov.co.uk/documents/g2004/Public%20minutes%2005th-Apr-2019%2010.30%20County%20Council.pdf?T=11,https://seclimatealliance.uk/climate-motion-passed-unanimously-by-west-sussex-county-council/,https://data.climateemergency.uk/media/data/plans/west-sussex-county-council-6d7097c.pdf,,,Conservative,,,,,,,,,,
West Yorkshire Combined Authority,,England,"2,320,214",27 Jun 2019,,2038,Declared CE,https://westyorkshire.moderngov.co.uk/documents/g745/Printed%20minutes%2027th-Jun-2019%2011.00%20West%20Yorkshire%20Combined%20Authority.pdf?T=1,,https://www.westyorks-ca.gov.uk/media/2424/leeds-city-region-energy-strategy.pdf,https://www.westyorks-ca.gov.uk/all-news-and-blogs/combined-authority-declares-climate-emergency/,,Labour,,,,,,,,,,
Westbury Town Council,,England,"16,989",6 Jan 2020,,,Declared CE,https://westburytown.sharepoint.com/sites/WebsiteDocuments/Shared%20Documents/Forms/AllItems.aspx?originalPath=aHR0cHM6Ly93ZXN0YnVyeXRvd24uc2hhcmVwb2ludC5jb20vOmY6L3MvV2Vic2l0ZURvY3VtZW50cy9FZ3dSR3pVcTF1Vkl2ZUVkMnhfaElpRUJtRXhScGd5YVM2dWFwbUhwaDNaQVl3P3J0aW1lPXRkRzRINkRxMTBn&id=%2Fsites%2FWebsiteDocuments%2FShared%20Documents%2FMinutes%2FTown%20Council%2FTown%20Council%20Minutes%2006%2E01%2E2020%2Epdf&parent=%2Fsites%2FWebsiteDocuments%2FShared%20Documents%2FMinutes%2FTown%20Council,https://www.gazetteandherald.co.uk/news/18144987.westbury-declared-climate-change-emergency/,https://westburytown.sharepoint.com/:w:/s/ClimateEmergency/ET9ruqzIc81Ivo8jhSF-XpUBPavGb0kiC8QNNi_Z7KyQvA?rtime=SrxWHJBk2kg,,,,,,,,,,,,,
Westminster City Council,,England,"255,324",18 Sep 2019,2030,2040,Declared CE,https://committees.westminster.gov.uk/documents/g4967/Printed%20minutes%2018th-Sep-2019%2019.00%20Council.pdf?T=1,,https://secure.webpublication.co.uk/218657/1422954/#page=1,https://www.westminster.gov.uk/westminster-declares-climate-emergency,https://westminster.moderngov.co.uk/mgAi.aspx?ID=12397,Conservative,"Conservative (41), Labour (19)",,,,,,,,Yes,
Weston-super-Mare Town Council,,England,"76,143",16 Sep 2019,,2030,Declared CE,https://wsm-tc.gov.uk/download/19/full-town-council-meeting-minutes/748/town-council-meeting-minutes-september-2019.pdf,https://www.thewestonmercury.co.uk/news/weston-town-council-declares-climate-emergency-1-6286952,,,https://www.wsm-tc.gov.uk/wp-content/uploads/2019/09/TC-Agenda-160919.pdf,,,,,,,,,,,
Weymouth Town Council,,England,"58,200",26 Jun 2019,2030,,Climate & Ecological,https://www.cedamia.org/wp-content/uploads/2019/08/Weymouth-Minutes.docx,,http://www.weymouthtowncouncil.gov.uk/responding-to-the-climate-emergency/,,,,,,,,,,,,,
Whitchurch Town Council,,England,"7,198",3 Jun 2019,,2030,Declared 'CE',http://whitchurch-hampshire-tc.gov.uk/minutes-whitchurch-hampshire-town-council/2019/06/draft-full-council-minutes-3-june-2019/,,https://docs.google.com/spreadsheets/d/1cHdl4nrhKkviluL4q29c42AZ1gDGkjEgnyk6psoiQ3s/edit#gid=941531332,,,,,,,,,,,,,
Wigan Metropolitan Borough Council,,England,"326,088",17 Jul 2019,2038,2038,Declared 'CE',https://democracy.wigan.gov.uk/documents/g4333/Printed%20minutes%2017th-Jul-2019%2018.00%20Council.pdf?T=1&a=1,https://www.wigantoday.net/news/wigan-council-declares-climate-emergency-1-9884628,https://data.climateemergency.uk/media/data/plans/wigan-metropolitan-borough-council-bb9ea72.pdf,,,Labour,"Labour (57), Conservative (8), Independent (10)",,,,,,,,,
Wilsden Parish Council,,England,"4,807",4 Jan 2021,,,Declared CE,https://www.wilsdenparishcouncil.gov.uk/council-information/meetings/minutes/2019-2020-9/draft-minutes-4th-january-2021/?layout=default,,,https://www.wilsdenparishcouncil.gov.uk/news/wilsden-parish-council-newsletter-january-2021/,,,,,,,,,,,,
Wiltshire Council (UA),,England,"498,064",26 Feb 2019,,2030,Acknowledged 'CE',https://cms.wiltshire.gov.uk/documents/g11678/Public%20minutes%2026th-Feb-2019%2010.30%20Council.pdf?T=11,https://climateemergency.uk/blog/wiltshire-council/,https://cms.wiltshire.gov.uk/documents/s187572/Climate_Update_Report.pdf,,,Lib Dem,,,,,,,,,Yes,
